Gene Ontology (GO),NAME
'de novo' AMP biosynthetic process [GO:0044208],YLR359W;YNL220W
'de novo' CTP biosynthetic process [GO:0044210],YBL039C;YJR103W
'de novo' IMP biosynthetic process [GO:0006189],YAR015W;YDR408C;YGL234W;YGR061C;YLR028C;YLR359W;YMR120C;YMR300C;YOR128C
'de novo' L-methionine biosynthetic process [GO:0071266],YGL184C
'de novo' NAD biosynthetic process from tryptophan [GO:0034354],YBL098W;YDR428C;YFR047C;YJR025C;YJR078W;YLR231C
'de novo' UMP biosynthetic process [GO:0044205],YEL021W;YJL130C;YKL216W;YLR420W;YML106W;YMR271C
'de novo' pyrimidine nucleobase biosynthetic process [GO:0006207],YEL021W;YJL130C;YJR109C;YKL024C;YKL216W;YLR420W;YML106W;YMR271C;YOR303W
(1->3)-beta-D-glucan biosynthetic process [GO:0006075],YGR032W;YLR342W;YMR306W;YPR165W
(1->6)-beta-D-glucan biosynthetic process [GO:0006078],YGR143W;YKL035W;YPR159W
(3R)-hydroxyacyl-CoA dehydrogenase (NAD) activity [GO:0106386],YKR009C
(3R)-hydroxyacyl-[acyl-carrier-protein] dehydratase activity [GO:0019171],YHR067W;YKL182W
(3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase activity [GO:0008659],YKL182W
(3R)-hydroxypalmitoyl-[acyl-carrier-protein] dehydratase activity [GO:0004317],YKL182W
(D)-2-hydroxyglutarate-pyruvate transhydrogenase activity [GO:0099615],YEL071W
(R)-2-hydroxyglutarate dehydrogenase activity [GO:0051990],YDL178W
(R)-carnitine transmembrane transporter activity [GO:1901235],YGL077C
(R)-carnitine transport [GO:1900749],YGL077C
"(R,R)-butanediol dehydrogenase activity [GO:0000721]",YAL060W;YAL061W
(S)-2-(5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido) succinate lyase (fumarate-forming) activity [GO:0070626],YLR359W
"1,3-beta-D-glucan synthase activity [GO:0003843]",YGR032W;YLR342W;YMR306W
"1,3-beta-D-glucan synthase complex [GO:0000148]",YGR032W;YLR342W;YMR306W;YPR165W
1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase activity [GO:0003949],YIL020C
1-acyl dihydroxyacetone phosphate reductase activity [GO:0102566],YIL124W
1-acylglycerol-3-phosphate O-acyltransferase activity [GO:0003841],YDL052C;YLR099C;YOR175C;YPR139C
1-acylglycerophosphocholine O-acyltransferase activity [GO:0047184],YDL052C;YOR175C;YPR140W
1-acylglycerophosphoethanolamine O-acyltransferase activity [GO:0106262],YDL052C;YOR175C
1-acylglycerophosphoserine O-acyltransferase activity [GO:0106263],YOR175C
"1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate metabolic process [GO:1903100]",YFR019W;YFR021W;YLR386W;YNL054W;YNL325C
1-phosphatidylinositol 4-kinase activity [GO:0004430],YJL100W;YLR305C;YNL267W
1-phosphatidylinositol-3-kinase activity [GO:0016303],YDR173C;YLR240W
1-phosphatidylinositol-3-phosphate 5-kinase activity [GO:0000285],YFR019W
"1-phosphatidylinositol-4,5-bisphosphate 3-kinase activity [GO:0046934]",YDR173C
1-phosphatidylinositol-4-phosphate 5-kinase activity [GO:0016308],YDR208W
1-pyrroline-5-carboxylate dehydrogenase activity [GO:0003842],YHR037W
"2 iron, 2 sulfur cluster binding [GO:0051537]",YDL120W;YDR098C;YEL024W;YER174C;YGR286C;YJR016C;YLL041C;YOR226C;YPL059W;YPL135W;YPL252C;YPR002W
"2',3'-cyclic-nucleotide 3'-phosphodiesterase activity [GO:0004113]",YGR247W
"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase activity [GO:0046538]",YKL152C
"2,3-diketo-5-methylthiopentyl-1-phosphate enolase activity [GO:0043715]",YEL038W
"2,4-dienoyl-CoA reductase (NADPH) activity [GO:0008670]",YNL202W
"2,5-diamino-6-ribitylamino-4(3H)-pyrimidinone 5'-phosphate deaminase activity [GO:0043723]",YOL066C
2-(3-amino-3-carboxypropyl)histidine synthase activity [GO:0090560],YIL043C
2-acylglycerol O-acyltransferase activity [GO:0003846],YOR245C
