NAME,ENTRY,Gene Ontology (GO)
Q0045,P00401,"mitochondrial membrane [GO:0031966]; mitochondrial respiratory chain complex IV [GO:0005751]; mitochondrion [GO:0005739]; cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; aerobic respiration [GO:0009060]; cellular respiration [GO:0045333]; electron transport coupled proton transport [GO:0015990]; mitochondrial electron transport, cytochrome c to oxygen [GO:0006123]"
Q0080,P00856,"mitochondrial inner membrane [GO:0005743]; mitochondrial proton-transporting ATP synthase complex [GO:0005753]; mitochondrial proton-transporting ATP synthase complex, coupling factor F(o) [GO:0000276]; mitochondrion [GO:0005739]; proton transmembrane transporter activity [GO:0015078]; proton motive force-driven ATP synthesis [GO:0015986]"
Q0085,P00854,"mitochondrial inner membrane [GO:0005743]; mitochondrial proton-transporting ATP synthase complex [GO:0005753]; mitochondrial proton-transporting ATP synthase complex, coupling factor F(o) [GO:0000276]; mitochondrion [GO:0005739]; proton transmembrane transporter activity [GO:0015078]; proton motive force-driven ATP synthesis [GO:0015986]"
Q0105,P00163,"mitochondrial inner membrane [GO:0005743]; mitochondrial respiratory chain complex III [GO:0005750]; mitochondrion [GO:0005739]; metal ion binding [GO:0046872]; ubiquinol-cytochrome-c reductase activity [GO:0008121]; aerobic respiration [GO:0009060]; cellular respiration [GO:0045333]; mitochondrial electron transport, ubiquinol to cytochrome c [GO:0006122]"
Q0130,P61829,"cytosol [GO:0005829]; mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]; mitochondrial proton-transporting ATP synthase complex [GO:0005753]; mitochondrial proton-transporting ATP synthase complex, coupling factor F(o) [GO:0000276]; mitochondrion [GO:0005739]; identical protein binding [GO:0042802]; lipid binding [GO:0008289]; proton transmembrane transporter activity [GO:0015078]; proton motive force-driven ATP synthesis [GO:0015986]"
Q0250,P00410,"mitochondrial respiratory chain complex IV [GO:0005751]; mitochondrion [GO:0005739]; copper ion binding [GO:0005507]; cytochrome-c oxidase activity [GO:0004129]; aerobic respiration [GO:0009060]; ATP synthesis coupled electron transport [GO:0042773]; mitochondrial electron transport, cytochrome c to oxygen [GO:0006123]"
Q0275,P00420,"mitochondrial membrane [GO:0031966]; mitochondrial respiratory chain complex IV [GO:0005751]; mitochondrion [GO:0005739]; cytochrome-c oxidase activity [GO:0004129]; aerobic respiration [GO:0009060]; cellular respiration [GO:0045333]; mitochondrial electron transport, cytochrome c to oxygen [GO:0006123]"
YAL012W,P31373,cytoplasm [GO:0005737]; nucleus [GO:0005634]; cystathionine gamma-lyase activity [GO:0004123]; cysteine-S-conjugate beta-lyase activity [GO:0047804]; L-cysteine desulfhydrase activity [GO:0080146]; L-cystine L-cysteine-lyase (deaminating) [GO:0044540]; pyridoxal phosphate binding [GO:0030170]; cysteine biosynthetic process [GO:0019344]; cysteine biosynthetic process via cystathionine [GO:0019343]; positive regulation of hydrogen sulfide biosynthetic process [GO:1904828]; transsulfuration [GO:0019346]
YAL022C,P31381,fungal-type vacuole membrane [GO:0000329]; plasma membrane [GO:0005886]; nicotinamide riboside transmembrane transporter activity [GO:0034257]; nucleobase transmembrane transporter activity [GO:0015205]; nucleoside transmembrane transporter activity [GO:0005337]; nicotinamide riboside transport [GO:0034258]; nucleobase transport [GO:0015851]; nucleoside transport [GO:0015858]; transmembrane transport [GO:0055085]
YAL023C,P31382,dolichyl-phosphate-mannose-protein mannosyltransferase Pmt1p-Pmt2p dimer complex [GO:0097582]; dolichyl-phosphate-mannose-protein mannosyltransferase Pmt5p-Pmt2p dimer complex [GO:0097584]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; dolichyl-phosphate-mannose-protein mannosyltransferase activity [GO:0004169]; ER-associated misfolded protein catabolic process [GO:0071712]; fungal-type cell wall biogenesis [GO:0009272]; protein exit from endoplasmic reticulum [GO:0032527]; protein O-linked glycosylation [GO:0006493]; protein O-linked mannosylation [GO:0035269]; regulation of endoplasmic reticulum unfolded protein response [GO:1900101]
YAL026C,P39524,Cdc50p-Drs2p complex [GO:1990530]; endoplasmic reticulum [GO:0005783]; endosome membrane [GO:0010008]; phospholipid-translocating ATPase complex [GO:1990531]; plasma membrane [GO:0005886]; trans-Golgi network [GO:0005802]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATPase-coupled intramembrane lipid transporter activity [GO:0140326]; magnesium ion binding [GO:0000287]; phosphatidylcholine flippase activity [GO:0140345]; phosphatidylethanolamine flippase activity [GO:0090555]; phosphatidylinositol-4-phosphate binding [GO:0070273]; phosphatidylserine flippase activity [GO:0140346]; phosphatidylserine floppase activity [GO:0090556]; endocytic recycling [GO:0032456]; endocytosis [GO:0006897]; phospholipid translocation [GO:0045332]; post-Golgi vesicle-mediated transport [GO:0006892]
YAL035W,P39730,"cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; eukaryotic 48S preinitiation complex [GO:0033290]; mitochondrion [GO:0005739]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; metal ion binding [GO:0046872]; ribosome binding [GO:0043022]; small ribosomal subunit rRNA binding [GO:0070181]; translation initiation factor activity [GO:0003743]; translation initiation factor binding [GO:0031369]; cytosolic ribosome assembly [GO:0042256]; formation of cytoplasmic translation initiation complex [GO:0001732]; maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]; regulation of translational initiation [GO:0006446]; ribosome assembly [GO:0042255]; translational initiation [GO:0006413]"
YAL038W,P00549,cytoplasm [GO:0005737]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; kinase activity [GO:0016301]; magnesium ion binding [GO:0000287]; potassium ion binding [GO:0030955]; pyruvate kinase activity [GO:0004743]; glycolytic process [GO:0006096]; phosphorylation [GO:0016310]; pyruvate metabolic process [GO:0006090]
YAL039C,P06182,mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]; mitochondrion [GO:0005739]; holocytochrome-c synthase activity [GO:0004408]; metal ion binding [GO:0046872]; cytochrome c-heme linkage [GO:0018063]
YAL044C,P39726,cytoplasm [GO:0005737]; glycine cleavage complex [GO:0005960]; mitochondrion [GO:0005739]; glycine catabolic process [GO:0006546]; glycine decarboxylation via glycine cleavage system [GO:0019464]; one-carbon metabolic process [GO:0006730]; protein lipoylation [GO:0009249]
YAL054C,Q01574,cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; acetate-CoA ligase activity [GO:0003987]; acid-ammonia (or amide) ligase activity [GO:0016880]; AMP binding [GO:0016208]; ATP binding [GO:0005524]; acetate fermentation [GO:0019654]; acetyl-CoA biosynthetic process [GO:0006085]; acetyl-CoA biosynthetic process from acetate [GO:0019427]
YAL060W,P39714,"cytoplasm [GO:0005737]; (R,R)-butanediol dehydrogenase activity [GO:0000721]; zinc ion binding [GO:0008270]; alcohol metabolic process [GO:0006066]; butanediol biosynthetic process [GO:0034079]"
YAL061W,P39713,"cytoplasm [GO:0005737]; nucleus [GO:0005634]; (R,R)-butanediol dehydrogenase activity [GO:0000721]; diacetyl reductase ((R)-acetoin forming) activity [GO:0052587]; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616]; zinc ion binding [GO:0008270]; butanediol biosynthetic process [GO:0034079]"
YAL062W,P39708,cytosol [GO:0005829]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; glutamate dehydrogenase (NADP+) activity [GO:0004354]; glutamate biosynthetic process [GO:0006537]
YAR015W,P27616,cytoplasm [GO:0005737]; nucleus [GO:0005634]; ATP binding [GO:0005524]; phosphoribosylaminoimidazolesuccinocarboxamide synthase activity [GO:0004639]; 'de novo' IMP biosynthetic process [GO:0006189]; purine nucleotide biosynthetic process [GO:0006164]
YAR035W,P80235,mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; carnitine O-acetyltransferase activity [GO:0004092]; carnitine O-palmitoyltransferase activity [GO:0004095]; carnitine metabolic process [GO:0009437]; fatty acid metabolic process [GO:0006631]
YAR071W,P35842,cell periphery [GO:0071944]; extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]; acid phosphatase activity [GO:0003993]; phosphate-containing compound metabolic process [GO:0006796]
YBL011W,P32784,endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; glycerol-3-phosphate O-acyltransferase activity [GO:0004366]; glycerone-phosphate O-acyltransferase activity [GO:0016287]; sn-1-glycerol-3-phosphate C16:0-DCA-CoA acyl transferase activity [GO:0102420]; CDP-diacylglycerol biosynthetic process [GO:0016024]; phospholipid biosynthetic process [GO:0008654]
YBL013W,P32785,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; methionyl-tRNA formyltransferase activity [GO:0004479]; conversion of methionyl-tRNA to N-formyl-methionyl-tRNA [GO:0071951]
YBL015W,P32316,cytosol [GO:0005829]; mitochondrion [GO:0005739]; acetate CoA-transferase activity [GO:0008775]; acetyl-CoA hydrolase activity [GO:0003986]; acetate metabolic process [GO:0006083]
YBL030C,P18239,membrane [GO:0016020]; mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; ATP:ADP antiporter activity [GO:0005471]; ADP transport [GO:0015866]; aerobic respiration [GO:0009060]; anaerobic respiration [GO:0009061]; apoptotic process [GO:0006915]; ATP transport [GO:0015867]; heme transport [GO:0015886]; mitochondrial ADP transmembrane transport [GO:0140021]; mitochondrial ATP transmembrane transport [GO:1990544]; mitochondrial transport [GO:0006839]; transmembrane transport [GO:0055085]
YBL033C,P38066,cytoplasm [GO:0005737]; nucleus [GO:0005634]; cyclohydrolase activity [GO:0019238]; GTP binding [GO:0005525]; GTP cyclohydrolase II activity [GO:0003935]; metal ion binding [GO:0046872]; riboflavin biosynthetic process [GO:0009231]
YBL039C,P28274,cytoophidium [GO:0097268]; cytoplasm [GO:0005737]; fungal-type vacuole [GO:0000324]; ATP binding [GO:0005524]; CTP synthase activity [GO:0003883]; identical protein binding [GO:0042802]; 'de novo' CTP biosynthetic process [GO:0044210]; CTP biosynthetic process [GO:0006241]; glutamine metabolic process [GO:0006541]; phospholipid biosynthetic process [GO:0008654]; pyrimidine nucleobase biosynthetic process [GO:0019856]
YBL042C,P38196,cell periphery [GO:0071944]; fungal-type vacuole [GO:0000324]; plasma membrane [GO:0005886]; nucleobase transmembrane transporter activity [GO:0015205]; uridine transmembrane transporter activity [GO:0015213]; nucleobase transport [GO:0015851]; transmembrane transport [GO:0055085]; uridine transport [GO:0015862]
YBL045C,P07256,"mitochondrial inner membrane [GO:0005743]; mitochondrial respiratory chain complex III [GO:0005750]; mitochondrion [GO:0005739]; metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]; aerobic respiration [GO:0009060]; cellular respiration [GO:0045333]; mitochondrial electron transport, ubiquinol to cytochrome c [GO:0006122]; protein processing involved in protein targeting to mitochondrion [GO:0006627]; proton transmembrane transport [GO:1902600]"
YBL064C,P34227,cytosol [GO:0005829]; mitochondrion [GO:0005739]; thioredoxin peroxidase activity [GO:0008379]; cell redox homeostasis [GO:0045454]; cellular response to oxidative stress [GO:0034599]
YBL068W,P38063,cytoplasm [GO:0005737]; ribose phosphate diphosphokinase complex [GO:0002189]; ATP binding [GO:0005524]; kinase activity [GO:0016301]; magnesium ion binding [GO:0000287]; ribose phosphate diphosphokinase activity [GO:0004749]; 5-phosphoribose 1-diphosphate biosynthetic process [GO:0006015]; fungal-type cell wall organization [GO:0031505]; phosphorylation [GO:0016310]; purine nucleotide biosynthetic process [GO:0006164]; ribonucleoside monophosphate biosynthetic process [GO:0009156]
YBL076C,P09436,cytosol [GO:0005829]; aminoacyl-tRNA editing activity [GO:0002161]; ATP binding [GO:0005524]; isoleucine-tRNA ligase activity [GO:0004822]; tRNA binding [GO:0000049]; isoleucyl-tRNA aminoacylation [GO:0006428]
YBL080C,P33893,glutamyl-tRNA(Gln) amidotransferase complex [GO:0030956]; mitochondrion [GO:0005739]; ATP binding [GO:0005524]; glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity [GO:0050567]; glutaminyl-tRNAGln biosynthesis via transamidation [GO:0070681]; mitochondrial translation [GO:0032543]
YBL091C,P38174,cytoplasm [GO:0005737]; nucleus [GO:0005634]; aminopeptidase activity [GO:0004177]; initiator methionyl aminopeptidase activity [GO:0004239]; metal ion binding [GO:0046872]; metalloaminopeptidase activity [GO:0070006]; metalloexopeptidase activity [GO:0008235]; protein maturation [GO:0051604]; proteolysis [GO:0006508]
YBL098W,P38169,mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]; FAD binding [GO:0071949]; flavin adenine dinucleotide binding [GO:0050660]; kynurenine 3-monooxygenase activity [GO:0004502]; NAD(P)H oxidase H2O2-forming activity [GO:0016174]; 'de novo' NAD biosynthetic process from tryptophan [GO:0034354]; anthranilate metabolic process [GO:0043420]; kynurenine metabolic process [GO:0070189]; NAD metabolic process [GO:0019674]; quinolinate biosynthetic process [GO:0019805]; tryptophan catabolic process [GO:0006569]
YBL099W,P07251,"cytosol [GO:0005829]; mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]; mitochondrial nucleoid [GO:0042645]; mitochondrial proton-transporting ATP synthase complex [GO:0005753]; mitochondrial proton-transporting ATP synthase, catalytic core [GO:0005754]; mitochondrion [GO:0005739]; proton-transporting ATP synthase complex, catalytic core F(1) [GO:0045261]; ADP binding [GO:0043531]; ATP binding [GO:0005524]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]; proton motive force-driven ATP synthesis [GO:0015986]"
YBR001C,P35172,"cytoplasm [GO:0005737]; mitochondrion [GO:0005739]; alpha,alpha-trehalase activity [GO:0004555]; calcium ion binding [GO:0005509]; trehalose catabolic process [GO:0005993]"
YBR002C,P35196,dehydrodolichyl diphosphate synthase complex [GO:1904423]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; lipid droplet [GO:0005811]; dehydrodolichyl diphosphate synthase activity [GO:0045547]; polyprenyltransferase activity [GO:0002094]; prenyltransferase activity [GO:0004659]; dolichol biosynthetic process [GO:0019408]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; protein glycosylation [GO:0006486]
YBR003W,P18900,extrinsic component of mitochondrial inner membrane [GO:0031314]; mitochondrion [GO:0005739]; transferase complex [GO:1990234]; metal ion binding [GO:0046872]; prenyltransferase activity [GO:0004659]; trans-hexaprenyltranstransferase activity [GO:0000010]; isoprenoid biosynthetic process [GO:0008299]; ubiquinone biosynthetic process [GO:0006744]
YBR004C,P38211,"endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; glycosylphosphatidylinositol-mannosyltransferase II complex [GO:0120097]; mannosyltransferase complex [GO:0031501]; mitochondrion [GO:0005739]; alpha-1,6-mannosyltransferase activity [GO:0000009]; glycolipid mannosyltransferase activity [GO:0004376]; mannosyltransferase activity [GO:0000030]; fungal-type cell wall organization [GO:0031505]; GPI anchor biosynthetic process [GO:0006506]; protein mannosylation [GO:0035268]"
YBR006W,P38067,cytoplasm [GO:0005737]; succinate-semialdehyde dehydrogenase (NAD+) activity [GO:0004777]; succinate-semialdehyde dehydrogenase (NADP+) activity [GO:0036243]; succinate-semialdehyde dehydrogenase [NAD(P)+] activity [GO:0009013]; cellular response to oxidative stress [GO:0034599]; gamma-aminobutyric acid catabolic process [GO:0009450]; glutamate decarboxylation to succinate [GO:0006540]
YBR011C,P00817,cytoplasm [GO:0005737]; nucleus [GO:0005634]; inorganic diphosphate phosphatase activity [GO:0004427]; magnesium ion binding [GO:0000287]; phosphate-containing compound metabolic process [GO:0006796]
YBR018C,P08431,cytoplasm [GO:0005737]; UDP-glucose:hexose-1-phosphate uridylyltransferase activity [GO:0008108]; zinc ion binding [GO:0008270]; galactose catabolic process via UDP-galactose [GO:0033499]
