Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (GO)
A0A0B7P3V8	reviewed	YP41B_YEAST	Transposon Ty4-P Gag-Pol polyprotein (TY4A-TY4B) (Transposon Ty4 TYA-TYB polyprotein) [Includes: Capsid protein (CA); Ty4 protease (PR) (EC 3.4.23.-); Integrase (IN); Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4)]	TY4B-P YPLCTy4-1 POL YPL060C-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1104	cytoplasm [GO:0005737]; nucleus [GO:0005634]; aspartic-type endopeptidase activity [GO:0004190]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; metal ion binding [GO:0046872]; RNA binding [GO:0003723]; RNA-directed DNA polymerase activity [GO:0003964]; RNA-DNA hybrid ribonuclease activity [GO:0004523]; DNA integration [GO:0015074]; DNA recombination [GO:0006310]; proteolysis [GO:0006508]; transposition [GO:0032196]
D6VTK4	reviewed	STE2_YEAST	Pheromone alpha factor receptor	STE2 YFL026W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	431	G protein-coupled receptor homodimeric complex [GO:0038038]; plasma membrane [GO:0005886]; mating-type alpha-factor pheromone receptor activity [GO:0004934]; mating-type factor pheromone receptor activity [GO:0004932]; pheromone binding [GO:0005550]; cytogamy [GO:0000755]; pheromone-dependent signal transduction involved in conjugation with cellular fusion [GO:0000750]
O13297	reviewed	CET1_YEAST	mRNA-capping enzyme subunit beta (EC 3.6.1.74) (mRNA 5'-phosphatase) (mRNA 5'-triphosphate monophosphatase)	CET1 YPL228W P1433	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	549	mRNA cap methyltransferase complex [GO:0031533]; mRNA 5'-phosphatase activity [GO:0140818]; polynucleotide 5'-phosphatase activity [GO:0004651]; 7-methylguanosine mRNA capping [GO:0006370]; polynucleotide 5' dephosphorylation [GO:0098507]; positive regulation of protein localization to nucleus [GO:1900182]; positive regulation of transcription elongation by RNA polymerase II [GO:0032968]
O13329	reviewed	FOB1_YEAST	DNA replication fork-blocking protein FOB1	FOB1 HRM1 YDR110W YD9727.06	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	566	nucleolus [GO:0005730]; rDNA heterochromatin [GO:0033553]; metal ion binding [GO:0046872]; rDNA spacer replication fork barrier binding [GO:0043110]; chromatin organization [GO:0006325]; chromosome segregation [GO:0007059]; DNA recombination [GO:0006310]; maintenance of DNA repeat elements [GO:0043570]; maintenance of rDNA [GO:0043007]; negative regulation of DNA replication [GO:0008156]; positive regulation of DNA recombination [GO:0045911]; protein localization to nucleolar rDNA repeats [GO:0034503]; rDNA chromatin condensation [GO:0070550]; rDNA heterochromatin formation [GO:0000183]; replication fork arrest at rDNA repeats [GO:0031582]
O13516	reviewed	RS9A_YEAST	Small ribosomal subunit protein uS4A (40S ribosomal protein S9-A) (RP21) (S13) (YP28) (YS11)	RPS9A RPS13A YS11A YPL081W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	197	90S preribosome [GO:0030686]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; small-subunit processome [GO:0032040]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]; ribosomal small subunit biogenesis [GO:0042274]; translation [GO:0006412]
O13527	reviewed	YA11B_YEAST	Truncated transposon Ty1-A Gag-Pol polyprotein (TY1B) (Transposon Ty1 TYB polyprotein) [Cleaved into: Integrase (IN) (Pol-p71) (p84) (p90); Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (Pol-p63) (p60)]	TY1B-A YARCTy1-1 POL YAR009C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1196	cytoplasm [GO:0005737]; nucleus [GO:0005634]; retrotransposon nucleocapsid [GO:0000943]; DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; metal ion binding [GO:0046872]; peptidase activity [GO:0008233]; RNA binding [GO:0003723]; RNA nuclease activity [GO:0004540]; RNA-directed DNA polymerase activity [GO:0003964]; RNA-DNA hybrid ribonuclease activity [GO:0004523]; DNA integration [GO:0015074]; DNA recombination [GO:0006310]; retrotransposition [GO:0032197]
O13535	reviewed	YH11B_YEAST	Transposon Ty1-H Gag-Pol polyprotein (Gag-Pol-p199) (TY1A-TY1B) (Transposon Ty1 TYA-TYB polyprotein) (p190) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Ty1 protease (PR) (EC 3.4.23.-) (Pol-p20) (p23); Integrase (IN) (Pol-p71) (p84) (p90); Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (Pol-p63) (p60)]	TY1B-H YHRCTy1-1 POL YHR214C-B	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1793	cytoplasm [GO:0005737]; nucleus [GO:0005634]; retrotransposon nucleocapsid [GO:0000943]; aspartic-type endopeptidase activity [GO:0004190]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; metal ion binding [GO:0046872]; peptidase activity [GO:0008233]; RNA binding [GO:0003723]; RNA nuclease activity [GO:0004540]; RNA-directed DNA polymerase activity [GO:0003964]; RNA-DNA hybrid ribonuclease activity [GO:0004523]; DNA integration [GO:0015074]; DNA recombination [GO:0006310]; proteolysis [GO:0006508]; retrotransposition [GO:0032197]
O13547	reviewed	CCW14_YEAST	Covalently-linked cell wall protein 14 (Inner cell wall protein)	CCW14 ICWP SSR1 YLR390W-A YLR391W-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	238	cell periphery [GO:0071944]; extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]; mitochondrion [GO:0005739]; side of membrane [GO:0098552]; structural constituent of cell wall [GO:0005199]; fungal-type cell wall organization [GO:0031505]
O13563	reviewed	RPN13_YEAST	26S proteasome regulatory subunit RPN13 (Proteasome non-ATPase subunit 13)	RPN13 DAQ1 YLR421C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	156	nucleus [GO:0005634]; proteasome complex [GO:0000502]; proteasome regulatory particle, lid subcomplex [GO:0008541]; proteasome storage granule [GO:0034515]; ubiquitin binding [GO:0043130]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; ubiquitin-dependent protein catabolic process [GO:0006511]
O14467	reviewed	MBF1_YEAST	Multiprotein-bridging factor 1 (Suppressor of frameshift mutations protein 13)	MBF1 SUF13 YOR298C-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	151	mitochondrion [GO:0005739]; nucleus [GO:0005634]; DNA binding [GO:0003677]; ribosome binding [GO:0043022]; transcription coactivator activity [GO:0003713]; maintenance of translational fidelity [GO:1990145]; positive regulation of transcription by RNA polymerase II [GO:0045944]; rescue of stalled ribosome [GO:0072344]
